id,age,gender,income,loan_amount,credit_score,ethnicity,residence,loan_approved
1,56,F,109415,20414,860,C,urban,1
2,69,M,88469,19329,463,A,urban,1
3,46,F,24436,27831,361,D,suburban,1
4,32,M,32669,46091,639,C,rural,1
5,60,F,87010,12588,965,D,urban,1
6,25,F,91764,5903,611,B,suburban,1
7,38,M,114074,49416,675,C,urban,1
8,56,M,16843,47723,645,D,suburban,1
9,36,M,80609,40572,449,B,rural,1
10,40,M,65812,22610,884,D,urban,1
11,28,F,31059,39052,880,A,urban,1
12,28,F,101269,38457,476,B,urban,1
13,41,M,55768,26527,653,D,suburban,1
14,53,M,40395,42550,813,D,suburban,1
15,57,M,35202,34011,608,A,urban,1
16,41,F,28273,42275,418,A,urban,1
17,20,M,63889,39764,818,C,rural,1
18,39,F,113635,37004,777,D,urban,1
19,19,F,88048,29064,713,C,urban,1
20,41,F,108767,33702,886,C,rural,1
21,61,M,103810,25165,650,C,urban,1
22,47,F,118235,13631,805,A,rural,1
23,55,M,60510,26852,494,D,rural,1
24,19,M,102945,9507,486,B,urban,1
25,38,F,85649,5527,749,C,suburban,1
26,50,F,17881,33981,795,B,suburban,1
27,29,M,60913,40764,814,B,rural,1
28,39,M,99785,41235,995,C,urban,1
29,61,M,80037,38471,572,D,suburban,1
30,42,M,77457,5662,351,C,rural,1
31,66,M,50343,29940,562,C,rural,1
32,44,M,77389,46882,667,A,rural,1
33,59,M,93250,11256,432,D,suburban,1
34,45,F,119489,33432,524,A,rural,1
35,33,F,23656,13367,609,A,urban,1
36,32,F,20741,43065,872,A,suburban,1
37,64,M,31661,30511,315,C,suburban,1
38,68,F,112091,13573,494,D,urban,1
39,61,F,43690,20582,742,C,urban,1
40,69,F,47833,10378,602,A,suburban,1
41,20,F,117566,18500,347,A,urban,1
42,54,F,86240,5305,420,B,urban,1
43,68,F,92711,26881,798,A,urban,1
44,24,M,72141,9697,861,B,rural,1
45,38,F,93232,12222,768,C,urban,1
46,26,F,54023,12933,340,D,rural,1
47,56,F,55209,22849,755,B,urban,1
48,35,F,108590,29236,833,A,suburban,1
49,21,M,101612,49231,670,D,suburban,1
50,42,M,95522,38170,481,C,suburban,1
51,31,F,29440,17901,816,D,rural,1
52,67,F,22960,11940,956,A,suburban,1
53,26,F,37462,24054,889,B,suburban,1
54,43,M,32821,45863,530,D,urban,0
55,19,M,72772,48610,647,A,suburban,1
56,37,F,42258,9544,778,C,urban,1
57,45,F,107889,30318,508,A,urban,1
58,64,F,103952,11074,974,B,rural,1
59,24,M,77524,44618,979,D,rural,1
60,61,F,37115,38518,577,B,urban,1
61,25,M,61433,30444,987,D,rural,1
62,64,F,105504,25446,352,B,suburban,1
63,52,M,103267,33543,309,D,urban,1
64,31,M,103321,29789,957,B,urban,1
65,34,F,119933,6617,763,A,rural,1
66,53,F,94364,40298,882,B,suburban,1
67,67,M,85077,8333,457,C,urban,1
68,57,F,55644,45002,318,D,suburban,1
69,21,M,77643,27152,354,B,suburban,1
